KBase Phylo Ref	KBase Phylo ObjName	KBase DB Ref	KBase DB ObjName	NCBI TaxID	GOLD ID	IMG ID	RefSeq ID	GenBank / INSDC	Genbank/RefSeq Assembly	Code	Species Name	Isolate / MAG	Domain	Phylum	Class	Order	Full Lineage
50737/2/1	Acidobacterium_ailaaui	19217/206628/3	GCF_000688455.1	1382359	Go0034257	2558860986	NZ_JIAL00000000.1	JIAL00000000.1	GCF_000688455.1_ASM68845v1		Acidobacterium ailaaui PMMR2	Isolate	Bacteria	Acidobacteria	Acidobacteriia		cellular organisms; Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidobacterium; Acidobacterium ailaaui
50737/3/1	Aquifex_aeolicus_VF5	19217/154546/3	GCF_000008625.1	224324	Go0000776	637000010	NC_000918.1	AE000657.1	GCF_000008625.1_ASM862v1		Aquifex aeolicus VF5	Isolate	Bacteria	Aquificae	Aquificae		cellular organisms; Bacteria; Aquificae; Aquificae; Aquificales; Aquificaceae; Aquifex; Aquifex aeolicus
50737/4/1	Caldisericum_exile_AZM16c01	19217/151363/4	GCF_000284335.1	511051	Go0006583	2513237181	NC_017096.1	AP012051.1	GCF_000284335.1_ASM28433v1		Caldisericum exile AZM16c01	Isolate	Bacteria	Caldiserica	Caldisericia		cellular organisms; Bacteria; Caldiserica; Caldisericia; Caldisericales; Caldisericaceae; Caldisericum; Caldisericum exile
50737/5/1	Caldithrix_abyssi_DSM_13497	19217/174417/3	GCF_001886815.1	880073	Go0003487	2718218154	NZ_CP018099.1	CP018099.1	GCF_001886815.1_ASM188681v1		Caldithrix abyssi DSM 13497	Isolate	Bacteria	Calditrichaeota	Calditrichae		cellular organisms; Bacteria; Calditrichaeota; Calditrichae; Calditrichales; Calditrichaceae; Caldithrix; Caldithrix abyssi
50737/6/1	Chrysiogenes_arsenatis_DSM_11915	19217/206861/4	GCF_000469585.1	118005	Go0001331	2579778963	NZ_AWNK00000000.1	AWNK00000000.1	GCF_000469585.1_Chrysiogenes_arsenatis		Chrysiogenes arsenatis DSM 11915	Isolate	Bacteria	Chrysiogenetes	Chrysiogenetes		cellular organisms; Bacteria; Chrysiogenetes; Chrysiogenetes; Chrysiogenales; Chrysiogenaceae; Chrysiogenes; Chrysiogenes arsenatis
50737/7/1	Deferribacter_desulfuricans_SSM1	19217/180873/3	GCF_000010985.1	639282	Go0001111	646564525	NC_013939.1	AP011529.1	GCF_000010985.1_ASM1098v1		Deferribacter desulfuricans SSM1	Isolate	Bacteria	Deferribacteres	Deferribacteres		cellular organisms; Bacteria; Deferribacteres; Deferribacteres; Deferribacterales; Deferribacteraceae; Deferribacter; Deferribacter desulfuricans
50737/8/1	Dictyoglomus_turgidum_DSM_6724	19217/145046/5	GCF_000021645.1	515635	Go0000002	643348543	NC_011661.1	CP001251.1	GCF_000021645.1_ASM2164v1		Dictyoglomus turgidum DSM 6724	Isolate	Bacteria	Dictyoglomi	Dictyoglomia		cellular organisms; Bacteria; Dictyoglomi; Dictyoglomia; Dictyoglomales; Dictyoglomaceae; Dictyoglomus; Dictyoglomus turgidum
50737/9/1	Elusimicrobium_minutum_Pei191	19217/73555/5	GCF_000020145.1	445932	Go0003397	642555127	NC_010644.1	CP001055.1	GCF_000020145.1_ASM2014v1		Elusimicrobium minutum Pei191	Isolate	Bacteria	Elusimicrobia	Elusimicrobia		cellular organisms; Bacteria; Elusimicrobia; Elusimicrobia; Elusimicrobiales; Elusimicrobiaceae; Elusimicrobium; Elusimicrobium minutum
50737/10/1	Bacteroides_ovatus_V975	19217/208622/13	GCF_900095495.1	1379690	Go0364054	N/A	NZ_CP012938.1	LT622246.1	GCF_900095495.1_B_ovatus_V975		Bacteroides ovatus V975	Isolate	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidia		cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides ovatus
				1379698	N/A	N/A	N/A	AUYT00000000.1	GCF_000447245.1_RBG_1		candidate division Zixibacteria bacterium RBG-1	MAG	Bacteria	candidate division Zixibacteria	candidate division Zixibacteria		cellular organisms; Bacteria; FCB group; candidate division Zixibacteria
				1775674	N/A	N/A	N/A	LQBI00000000.1	GCA_002030045.1_ASM203004v1		Candidatus Aegiribacteria bacterium MLS_C	MAG	Bacteria	Candidatus Aegiribacteria	Candidatus Aegiribacteria		cellular organisms; Bacteria; FCB group; Candidatus Aegiribacteria
		19217/101269/5	GCF_000146065.2	459349	N/A	642555115	NC_020449.1	CU466930.1	GCF_000146065.2_ASM14606v1		Candidatus Cloacimonas acidaminovorans str. Evry	MAG	Bacteria	Candidatus Cloacimonetes	Candidatus Cloacimonetes		cellular organisms; Bacteria; FCB group; Candidatus Cloacimonetes; Candidatus Cloacimonas; Candidatus Cloacimonas acidaminovorans
				1902299	N/A	N/A	N/A	MJAN00000000.1	GCA_001875255.1_ASM187525v1		Candidatus Sabulitectum silens	MAG	Bacteria	Candidatus Fermentibacteria	Candidatus Fermentibacteria		cellular organisms; Bacteria; FCB group; Candidatus Fermentibacteria; Candidatus Sabulitectum
				1379305	N/A	N/A	N/A	AWNW00000000.1	GCF_000493945.1_Hydrogenedentes_bacterium_OTU_1		Candidatus Hydrogenedens terephthalicus JGI OTU-1	SAG	Bacteria	Candidatus Hydrogenedentes	Candidatus Hydrogenedentes		cellular organisms; Bacteria; FCB group; Candidatus Hydrogenedentes; Candidatus Hydrogenedens; Candidatus Hydrogenedens terephthalicus
		19217/295563/6	GCF_001536065.1	1633643	N/A	N/A	NZ_CZVW00000000.1	CZVW00000000.1	GCF_001536065.1_JGI_assembly		Candidatus Chrysopegis kryptomonas	SAG	Bacteria	Candidatus Kryptonia	Candidatus Kryptonia		cellular organisms; Bacteria; FCB group; Candidatus Kryptonia; Candidatus Chrysopegis
				910047	Go0011342	2264867254	N/A	AQSL00000000.1	GCF_000403035.1_ASM40303v1		Candidatus Latescibacter anaerobius SCGC AAA252-E07	SAG	Bacteria	Candidatus Latescibacteria	Candidatus Latescibacteria		cellular organisms; Bacteria; FCB group; Candidatus Latescibacteria; Candidatus Latescibacter; Candidatus Latescibacter anaerobius
				939857	Go0012350	2264867243	N/A	AQSI00000000.1	GCF_000402655.1_ASM40265v1		Marinimicrobia bacterium SCGC AAA298-D23	SAG	Bacteria	Candidatus Marinimicrobia	Candidatus Marinimicrobia		cellular organisms; Bacteria; FCB group; Candidatus Marinimicrobia
				1008392	Go0116378	2636415956	N/A (low quality)	LDWW00000000.1	GCA_001045525.1_ASM104552v1		Chitinispirillum alkaliphilum: DSM 24539	Isolate	Bacteria	Fibrobacteres	Chitinispirillia		cellular organisms; Bacteria; FCB group; Fibrobacteres; Chitinispirillia; Chitinispirillales; Chitinispirillaceae; Chitinispirillum
50737/12/1	Gemmatimonas_aurantiaca_T-27	19217/170940/3	GCF_000010305.1	379066	Go0001485	643692024	NC_012489.1	AP009153.1	GCF_000010305.1_ASM1030v1		Gemmatimonas aurantiaca T-27	Isolate	Bacteria	Gemmatimonadetes	Gemmatimonadetes		cellular organisms; Bacteria; FCB group; Gemmatimonadetes; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; Gemmatimonas; Gemmatimonas aurantiaca
50737/13/1	Fusobacterium_perfoetens_ATCC_29250	19217/48125/3	GCF_000622245.1	1408439	Go0044079	2571042013	NZ_JHXW00000000.1	JHXW00000000.1	GCF_000622245.1_ASM62224v1		Fusobacterium perfoetens ATCC 29250	Isolate	Bacteria	Fusobacteria	Fusobacteriia		cellular organisms; Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium; Fusobacterium perfoetens
				1429438	N/A	2563366761	N/A	AZHW00000000.1	GCF_000522425.1_v3		Candidatus Entotheonella factor TSY1	MAG	Bacteria	Candidatus Tectomicrobia	Candidatus Entotheonella		cellular organisms; Bacteria; Nitrospinae/Tectomicrobia group; Candidatus Tectomicrobia; Candidatus Entotheonella
50737/14/1	Nitrospina_gracilis_3_211	19217/123498/3	GCF_000341545.2	1266370	Go0035725	2531839654	NZ_CAQJ00000000.1	CAQJ00000000.1	GCF_000341545.2_ASM34154v2		Nitrospina gracilis 3/211	Isolate	Bacteria	Nitrospinae	Nitrospinia		cellular organisms; Bacteria; Nitrospinae/Tectomicrobia group; Nitrospinae; Nitrospinia; Nitrospinales; Nitrospinaceae; Nitrospina; Nitrospina gracilis
50737/15/1	Nitrospira_defluvii	19217/176443/4	GCF_000196815.1	330214	Go0001691	649633030	NC_014355.1	FP929003.1	GCF_000196815.1_ASM19681v1		Nitrospira defluvii A17	Isolate	Bacteria	Nitrospirae	Nitrospira		cellular organisms; Bacteria; Nitrospirae; Nitrospira; Nitrospirales; Nitrospiraceae; Nitrospira; Nitrospira defluvii
50737/16/1	Acidithiobacillus_albertensis	19217/150972/4	GCF_001931655.1	119978	Go0028077	2751185777	NZ_MOAD00000000.1	MOAD00000000.1	GCF_001931655.1_ASM193165v1		Acidithiobacillus albertensis DSM 14366	Isolate	Bacteria	Proteobacteria	Acidithiobacillia		cellular organisms; Bacteria; Proteobacteria; Acidithiobacillia; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus; Acidithiobacillus albertensis
		19217/345961/4	GCF_002749615.1	69666	Go0408713	2775506948	NZ_CP024201.1	CP024201.1	GCF_002749615.1_ASM274961v1		Caulobacter mirabilis FWC 38	Isolate	Bacteria	Proteobacteria	Alphaproteobacteria		cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter; Caulobacter mirabilis
		19217/82689/4	GCF_000402035.1	758793	Go0040244	2597489944	NC_021287.1 , NC_021294.1 , NC_021288.1	AP013058.1 , AP013059.1 , AP013060.1	GCF_000402035.1_ASM40203v1		Burkholderia insecticola RPE64	Isolate	Bacteria	Proteobacteria	Betaproteobacteria		cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia insecticola
				1817772	N/A	2724678913	N/A	MFNE00000000.1	GCA_001783695.1_ASM178369v1		Candidatus Lambdaproteobacteria bacterium RIFOXYD2_FULL_50_16	MAG	Bacteria	Proteobacteria	Candidatus Lambdaproteobacteria		cellular organisms; Bacteria; Proteobacteria; Candidatus Lambdaproteobacteria
				1817768	N/A	2710723890	N/A	MFTC00000000.1	GCA_001785205.1_ASM178520v1		Candidatus Muproteobacteria bacterium RIFCSPLOWO2_01_FULL_60_18	MAG	Bacteria	Proteobacteria	Candidatus Muproteobacteria		cellular organisms; Bacteria; Proteobacteria; Candidatus Muproteobacteria
		19217/48317/3	GCF_000195755.1	882	Go0000581	637000096	NC_002937.3	AE017285.1	GCF_000195755.1_ASM19575v1		Desulfovibrio vulgaris str. Hildenborough	Isolate	Bacteria	Proteobacteria	Deltaproteobacteria		cellular organisms; Bacteria; Proteobacteria; delta/epsilon subdivisions; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio; Desulfovibrio vulgaris
		19217/23213/2	 GCF_000008525.1	1407462	Go0068142	2558309076	NC_000915.1	AE000511.1	GCF_000008525.1_ASM852v1		Helicobacter pylori BM012A	Isolate	Bacteria	Proteobacteria	Epsilonproteobacteria		cellular organisms; Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter; Helicobacter pylori
